Scenario,Mean CT (min),Mean CT (hrs),P95 CT (hrs),Utilisation (%),Mean queue,Trucks processed
Baseline,145.8,2.43,2.76,77.4,17.92,2.0
S1: 24-hr ops,130.3,2.17,2.62,74.6,5.38,2.0
S2: ICT upgrade,133.5,2.23,2.99,77.1,17.84,3.0
S3: Pre-clearance,142.1,2.37,2.82,90.7,15.51,3.0
S4: Combined,127.2,2.12,2.79,81.5,4.3,3.0
