Scenario,Mean CT (min),Mean CT (hrs),P95 CT (hrs),Utilisation (%),Mean queue,Trucks processed
Baseline,477.7,7.96,13.19,95.6,77.71,17.0
S1: 24-hr ops,450.7,7.51,12.6,92.6,28.37,19.0
S2: ICT upgrade,472.2,7.87,13.11,95.7,77.2,22.0
S3: Pre-clearance,471.9,7.86,12.98,96.1,69.5,18.0
S4: Combined,425.2,7.09,12.14,93.0,13.98,24.0
